date,open,high,low,close,volume
2025-01-02,100.00,100.19,99.83,99.91,79352161
2025-01-03,99.91,100.07,99.75,99.79,74482062
2025-01-06,99.79,100.01,99.74,99.83,55623740
2025-01-07,99.83,100.12,99.25,99.32,69809897
2025-01-08,99.32,100.11,99.31,99.82,53964327
2025-01-09,99.82,100.72,99.69,100.44,77109029
2025-01-10,100.44,100.60,100.26,100.46,55934846
2025-01-13,100.46,100.60,100.18,100.45,77457431
2025-01-14,100.45,101.11,100.25,101.09,60650523
2025-01-15,101.09,101.09,101.02,101.07,73000869
2025-01-16,101.07,101.52,100.86,101.29,50052423
2025-01-17,101.29,101.91,101.09,101.82,76459317
2025-01-20,101.82,102.34,101.56,102.09,59613999
2025-01-21,102.09,102.23,101.71,101.73,78959270
2025-01-22,101.73,102.03,101.62,101.72,64296536
2025-01-23,101.72,101.82,101.63,101.75,72261360
2025-01-24,101.75,102.09,101.68,102.04,66097919
2025-01-27,102.04,102.26,101.77,101.94,78713705
2025-01-28,101.94,102.51,101.74,102.22,79521853
2025-01-29,102.22,102.66,102.20,102.55,68555049
2025-01-30,102.55,102.85,102.30,102.48,74531658
2025-01-31,102.48,103.13,102.20,102.97,77101886
2025-02-03,102.97,103.12,102.80,103.11,57958279
2025-02-04,103.11,103.24,102.93,103.13,74132059
2025-02-05,103.13,103.17,102.93,103.08,70889182
2025-02-06,103.08,103.28,102.88,103.10,62881652
2025-02-07,103.10,103.61,102.99,103.30,53403746
2025-02-10,103.30,103.83,103.30,103.71,59164777
2025-02-11,103.71,104.09,103.62,103.91,67580242
2025-02-12,103.91,104.32,103.69,104.12,68105540
2025-02-13,104.12,104.43,104.00,104.09,59989698
2025-02-14,104.09,104.41,104.04,104.16,76232697
2025-02-17,104.16,104.25,104.10,104.21,79617857
2025-02-18,104.21,105.14,103.92,104.87,73195855
2025-02-19,104.87,105.30,104.60,105.10,70002465
2025-02-20,105.10,105.31,104.80,104.85,76562814
2025-02-21,104.85,104.94,104.00,104.24,53874264
2025-02-24,104.24,104.62,104.13,104.49,76202721
2025-02-25,104.49,104.81,104.23,104.67,58837361
2025-02-26,104.67,104.76,103.86,104.16,70754142
2025-02-27,104.16,104.52,103.93,104.52,62037621
2025-02-28,104.52,105.41,104.28,105.29,76361165
2025-03-03,105.29,105.31,105.14,105.30,56246523
2025-03-04,105.30,105.30,104.83,104.94,74292784
2025-03-05,104.94,105.05,104.22,104.40,63790339
2025-03-06,104.40,104.49,104.02,104.03,58693609
2025-03-07,104.03,104.42,104.03,104.11,56573797
2025-03-10,104.11,104.37,104.04,104.30,68892003
2025-03-11,104.30,104.60,103.99,104.48,62774096
2025-03-12,104.48,104.74,104.29,104.36,51617922
2025-03-13,104.36,104.41,103.78,103.96,64132950
2025-03-14,103.96,104.40,103.87,104.18,59145260
2025-03-17,104.18,104.21,103.88,104.12,66010735
2025-03-18,104.12,104.17,103.52,103.72,58606163
2025-03-19,103.72,104.11,103.46,104.04,76497955
2025-03-20,104.04,104.11,103.56,103.75,62528726
2025-03-21,103.75,104.03,103.61,103.76,58241020
2025-03-24,103.76,104.04,103.38,103.46,73084733
2025-03-25,103.46,103.95,103.21,103.67,51745943
2025-03-26,103.67,103.87,103.50,103.63,70164652
2025-03-27,103.63,103.79,103.03,103.23,72810831
2025-03-28,103.23,103.85,102.99,103.63,77807248
2025-03-31,103.63,104.17,103.47,104.07,71429659
