date,open,high,low,close,volume
2025-01-02,600.00,601.40,589.78,591.09,53211697
2025-01-03,591.09,596.64,589.71,595.99,58940482
2025-01-06,595.99,606.34,595.01,604.79,56868262
2025-01-07,604.79,606.18,594.97,595.44,62411376
2025-01-08,595.44,598.47,594.41,597.70,78583120
2025-01-09,597.70,598.20,589.22,589.65,70344612
2025-01-10,589.65,594.20,588.48,593.70,69347605
2025-01-13,593.70,593.75,586.76,587.93,66120931
2025-01-14,587.93,588.97,579.06,579.56,63339344
2025-01-15,579.56,589.09,577.99,587.77,73997958
2025-01-16,587.77,589.42,586.49,587.16,60103407
2025-01-17,587.16,597.56,587.10,596.76,69695498
2025-01-20,596.76,597.24,589.65,590.62,57793330
2025-01-21,590.62,591.42,578.87,580.54,75633302
2025-01-22,580.54,583.44,580.00,582.54,59593231
2025-01-23,582.54,584.04,581.41,582.21,79507723
2025-01-24,582.21,583.57,576.65,578.33,76282641
2025-01-27,578.33,579.91,575.64,577.28,61195731
2025-01-28,577.28,577.34,564.18,565.69,52637476
2025-01-29,565.69,567.20,561.64,562.08,76655564
2025-01-30,562.08,563.36,561.46,562.06,76084792
2025-01-31,562.06,575.74,561.21,575.71,53355214
2025-02-03,575.71,576.79,564.46,565.97,66350055
2025-02-04,565.97,567.62,565.25,565.29,60348033
2025-02-05,565.29,571.25,564.82,570.88,57525146
2025-02-06,570.88,577.66,570.35,576.05,60120742
2025-02-07,576.05,578.84,575.07,577.92,54739856
2025-02-10,577.92,579.21,569.13,569.34,61926569
2025-02-11,569.34,570.54,565.08,565.40,52315386
2025-02-12,565.40,565.91,561.44,562.97,53092904
2025-02-13,562.97,563.66,555.86,556.84,60366415
2025-02-14,556.84,562.56,555.87,560.89,54726711
2025-02-17,560.89,563.77,559.26,562.27,54457000
2025-02-18,562.27,562.35,561.05,561.13,77221379
2025-02-19,561.13,561.63,551.49,552.94,72688583
2025-02-20,552.94,556.46,551.69,555.95,60949741
2025-02-21,555.95,556.08,553.09,553.60,65449840
2025-02-24,553.60,554.45,547.94,548.55,54587065
2025-02-25,548.55,548.96,543.97,544.84,72468989
2025-02-26,544.84,549.12,544.03,548.87,75399960
2025-02-27,548.87,549.84,543.47,543.57,69092021
2025-02-28,543.57,547.46,543.10,545.99,58044504
2025-03-03,545.99,554.69,545.47,553.21,56764579
2025-03-04,553.21,554.13,547.06,547.90,52918332
2025-03-05,547.90,551.36,547.35,550.09,60004868
2025-03-06,550.09,551.52,548.24,549.80,76430398
2025-03-07,549.80,563.21,548.98,561.92,79894837
2025-03-10,561.92,563.14,555.65,556.61,55539863
2025-03-11,556.61,557.34,553.83,554.76,74097159
2025-03-12,554.76,556.17,551.32,551.43,79091678
2025-03-13,551.43,551.87,547.70,548.35,52967351
2025-03-14,548.35,562.37,546.87,560.85,50428182
2025-03-17,560.85,561.92,552.29,553.13,73174472
2025-03-18,553.13,554.34,548.70,550.35,79005325
2025-03-19,550.35,554.72,549.12,553.54,76237419
2025-03-20,553.54,553.62,545.33,545.93,56671438
2025-03-21,545.93,546.59,540.61,541.37,56282401
2025-03-24,541.37,548.58,540.74,547.56,76088088
2025-03-25,547.56,548.20,536.36,537.88,62449379
2025-03-26,537.88,538.07,535.72,537.22,57545369
2025-03-27,537.22,538.20,524.13,524.29,63848781
2025-03-28,524.29,532.54,522.92,531.31,62119751
2025-03-31,531.31,532.02,520.81,521.95,56217626
